Rebalance Date,Next Date,Top Stocks,Gross Return %,Net Return %,Portfolio Value
2020-07-31,2020-08-31,"['TTML.NS', 'NAVINFLUOR.NS', 'TANLA.NS', 'MUTHOOTFIN.NS', 'ALKYLAMINE.NS', 'PERSISTENT.NS', 'RPOWER.NS', 'DIXON.NS', 'NETWORK18.NS', 'LUPIN.NS', 'BDL.NS', 'BSOFT.NS', 'ESCORTS.NS', 'ADANIGREEN.NS', 'CAPLIPOINT.NS', 'AUROPHARMA.NS', 'INDIACEM.NS', 'RTNINDIA.NS', 'AJANTPHARM.NS', 'MCX.NS', 'CDSL.NS', 'LAURUSLABS.NS', 'MPHASIS.NS', 'NEULANDLAB.NS', 'BIOCON.NS', 'DIVISLAB.NS', 'TATACOMM.NS', 'MASTEK.NS', 'DEEPAKNTR.NS', 'JBCHEPHARM.NS', 'ALOKINDS.NS', 'SUZLON.NS', 'ZYDUSLIFE.NS', 'CIPLA.NS', 'EIDPARRY.NS', 'BASF.NS', 'INFY.NS', 'DEEPAKFERT.NS', 'ITI.NS', 'BAYERCROP.NS', 'GRANULES.NS', 'PATANJALI.NS', 'APLLTD.NS', 'TORNTPHARM.NS', 'DRREDDY.NS', 'IDEA.NS', 'SYNGENE.NS', 'RELIANCE.NS', 'IPCALAB.NS', 'POLYMED.NS']",7.91,7.71,1077148.79
2020-08-31,2020-09-30,"['SARDAEN.NS', 'TANLA.NS', 'ALKYLAMINE.NS', 'ZENTEC.NS', 'RPOWER.NS', 'DIXON.NS', 'LUPIN.NS', 'BDL.NS', 'BSOFT.NS', 'ADANIGREEN.NS', 'CAPLIPOINT.NS', 'AUROPHARMA.NS', 'RENUKA.NS', 'RTNINDIA.NS', 'CDSL.NS', 'LAURUSLABS.NS', 'NEULANDLAB.NS', 'DIVISLAB.NS', 'TATACOMM.NS', 'MASTEK.NS', 'DEEPAKNTR.NS', 'JBCHEPHARM.NS', 'SWSOLAR.NS', 'ALOKINDS.NS', 'ZYDUSLIFE.NS', 'CIPLA.NS', 'EIDPARRY.NS', 'IRB.NS', 'JPPOWER.NS', 'BASF.NS', 'FACT.NS', 'DEEPAKFERT.NS', 'CGPOWER.NS', 'ITI.NS', 'GRANULES.NS', 'PATANJALI.NS', 'BLS.NS', 'TATACONSUM.NS', 'INDIAMART.NS', 'APLLTD.NS', 'GPIL.NS', 'HEROMOTOCO.NS', 'DRREDDY.NS', 'IDEA.NS', 'SYNGENE.NS', 'RELIANCE.NS', 'HINDZINC.NS', 'INTELLECT.NS', 'SAREGAMA.NS', 'FSL.NS']",4.78,4.72,1127946.01
2020-09-30,2020-10-31,"['TANLA.NS', 'JINDALSTEL.NS', 'ALKYLAMINE.NS', 'ZENTEC.NS', 'PERSISTENT.NS', 'RPOWER.NS', 'TIINDIA.NS', 'DIXON.NS', 'ZENSARTECH.NS', 'ADANIENT.NS', 'BSOFT.NS', 'ADANIGREEN.NS', 'WELSPUNLIV.NS', 'APLAPOLLO.NS', 'ELGIEQUIP.NS', 'RTNINDIA.NS', 'CDSL.NS', 'ATGL.NS', 'LAURUSLABS.NS', 'MPHASIS.NS', 'NEULANDLAB.NS', 'PCBL.NS', 'TATACOMM.NS', 'MASTEK.NS', 'M&M.NS', 'DEEPAKNTR.NS', 'SWSOLAR.NS', 'ALOKINDS.NS', 'TEJASNET.NS', 'RKFORGE.NS', 'AFFLE.NS', 'VEDL.NS', 'IRB.NS', 'JPPOWER.NS', 'INOXWIND.NS', 'KPITTECH.NS', 'DEEPAKFERT.NS', 'CGPOWER.NS', 'INDIAMART.NS', 'BLS.NS', 'PATANJALI.NS', 'GRANULES.NS', 'GPIL.NS', 'PGEL.NS', 'IDEA.NS', 'SYNGENE.NS', 'CREDITACC.NS', 'INTELLECT.NS', 'SAREGAMA.NS', 'FSL.NS']",2.63,2.55,1156751.14
2020-10-31,2020-11-30,"['TTML.NS', 'TANLA.NS', 'JINDALSTEL.NS', 'ANANTRAJ.NS', 'PERSISTENT.NS', 'ZENTEC.NS', 'DIXON.NS', 'ZENSARTECH.NS', 'TATAELXSI.NS', 'ADANIENT.NS', 'BSOFT.NS', 'ADANIGREEN.NS', 'TRIVENI.NS', 'WELSPUNLIV.NS', 'APLAPOLLO.NS', 'RENUKA.NS', 'RTNINDIA.NS', 'CDSL.NS', 'ATGL.NS', 'LAURUSLABS.NS', 'MPHASIS.NS', 'POONAWALLA.NS', 'NEULANDLAB.NS', 'TATACOMM.NS', 'MASTEK.NS', 'AMBER.NS', 'JBCHEPHARM.NS', 'WIPRO.NS', 'ALOKINDS.NS', 'TEJASNET.NS', 'RKFORGE.NS', 'FSL.NS', 'AFFLE.NS', 'EIDPARRY.NS', 'JPPOWER.NS', 'JSL.NS', 'CGPOWER.NS', 'INDIAMART.NS', 'BLS.NS', 'GRANULES.NS', 'GPIL.NS', 'PGEL.NS', 'LTIM.NS', 'IDEA.NS', 'NEWGEN.NS', 'EMAMILTD.NS', 'INTELLECT.NS', 'SAREGAMA.NS', 'POLYMED.NS', 'COFORGE.NS']",13.61,13.55,1313466.63
2020-11-30,2020-12-31,"['TTML.NS', 'INDUSINDBK.NS', 'SARDAEN.NS', 'TANLA.NS', 'ANANTRAJ.NS', 'PERSISTENT.NS', 'ZENTEC.NS', 'TIINDIA.NS', 'DIXON.NS', 'ZENSARTECH.NS', 'DBREALTY.NS', 'TATAELXSI.NS', 'ADANIENT.NS', 'BSOFT.NS', 'ADANIGREEN.NS', 'APLAPOLLO.NS', 'WELSPUNLIV.NS', 'WOCKPHARMA.NS', 'ACE.NS', 'RTNINDIA.NS', 'ATGL.NS', 'LAURUSLABS.NS', 'POONAWALLA.NS', 'NEULANDLAB.NS', 'INTELLECT.NS', 'PCBL.NS', 'BAJFINANCE.NS', 'TATACOMM.NS', 'MASTEK.NS', 'PNBHOUSING.NS', 'CHOLAHLDNG.NS', 'TEJASNET.NS', 'CHOLAFIN.NS', 'AUBANK.NS', 'AFFLE.NS', 'JPPOWER.NS', 'KPITTECH.NS', 'JSL.NS', 'JSWHL.NS', 'BRIGADE.NS', 'CGPOWER.NS', 'BLS.NS', 'GRANULES.NS', 'ASHOKLEY.NS', 'GPIL.NS', 'PGEL.NS', 'EMAMILTD.NS', 'RKFORGE.NS', 'SAREGAMA.NS', 'FSL.NS']",10.03,9.96,1444329.72
2020-12-31,2021-01-31,"['TTML.NS', 'SARDAEN.NS', 'INDUSINDBK.NS', 'TANLA.NS', 'ANANTRAJ.NS', 'PERSISTENT.NS', 'DIXON.NS', 'ECLERX.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'ZENSARTECH.NS', 'ADANIENT.NS', 'BSOFT.NS', 'ADANIGREEN.NS', 'NCC.NS', 'APLAPOLLO.NS', 'ELGIEQUIP.NS', 'WOCKPHARMA.NS', 'ACE.NS', 'BLUEDART.NS', 'TATASTEEL.NS', 'CDSL.NS', 'CENTURYPLY.NS', 'ATGL.NS', 'LAURUSLABS.NS', 'NEULANDLAB.NS', 'PCBL.NS', 'MASTEK.NS', 'DEEPAKNTR.NS', 'CGCL.NS', 'TEJASNET.NS', 'RKFORGE.NS', 'CHOLAFIN.NS', 'AFFLE.NS', 'SAIL.NS', 'KPITTECH.NS', 'JSWHL.NS', 'CGPOWER.NS', 'INDIAMART.NS', 'ASHOKLEY.NS', 'GPIL.NS', 'JSWSTEEL.NS', 'PGEL.NS', 'LTIM.NS', 'HINDCOPPER.NS', 'EMAMILTD.NS', 'INTELLECT.NS', 'SAREGAMA.NS', 'FSL.NS', 'COFORGE.NS']",6.53,6.47,1537770.01
2021-01-31,2021-02-28,"['TTML.NS', 'SARDAEN.NS', 'TANLA.NS', 'ANANTRAJ.NS', 'OLECTRA.NS', 'ALKYLAMINE.NS', 'ECLERX.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'PRAJIND.NS', 'ADANIENT.NS', 'BSOFT.NS', 'SHRIRAMFIN.NS', 'ADANIGREEN.NS', 'SOBHA.NS', 'NCC.NS', 'APLAPOLLO.NS', 'ELGIEQUIP.NS', 'ACE.NS', 'BLUEDART.NS', 'JKTYRE.NS', 'CENTURYPLY.NS', 'ATGL.NS', 'HFCL.NS', 'INTELLECT.NS', 'PCBL.NS', 'MASTEK.NS', 'TEJASNET.NS', 'CHOLAFIN.NS', 'AFFLE.NS', 'GRAPHITE.NS', 'INOXWIND.NS', 'KPITTECH.NS', 'JSL.NS', 'JBMA.NS', 'TRIDENT.NS', 'JSWHL.NS', 'KPRMILL.NS', 'CGPOWER.NS', 'INDIAMART.NS', 'ASHOKLEY.NS', 'GPIL.NS', 'ELECON.NS', 'PGEL.NS', 'TATAMOTORS.NS', 'EMAMILTD.NS', 'RKFORGE.NS', 'IIFL.NS', 'SAREGAMA.NS', 'JWL.NS']",18.75,18.69,1825129.56
2021-02-28,2021-03-31,"['TTML.NS', 'TATACHEM.NS', 'TANLA.NS', 'ANANTRAJ.NS', 'OLECTRA.NS', 'DIXON.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'PRAJIND.NS', 'INDIANB.NS', 'ADANIENT.NS', 'ADANIGREEN.NS', 'NCC.NS', 'APLAPOLLO.NS', 'ACE.NS', 'BLUEDART.NS', 'MMTC.NS', 'DLF.NS', 'JKTYRE.NS', 'CENTURYPLY.NS', 'ATGL.NS', 'IDFCFIRSTB.NS', 'NEULANDLAB.NS', 'INTELLECT.NS', 'ABCAPITAL.NS', 'DEEPAKNTR.NS', 'TEJASNET.NS', 'RKFORGE.NS', 'CHOLAFIN.NS', 'MOTHERSON.NS', 'AFFLE.NS', 'GRAPHITE.NS', 'ASTRAL.NS', 'SAIL.NS', 'TRIDENT.NS', 'DALBHARAT.NS', 'CGPOWER.NS', 'INDIAMART.NS', 'ASHOKLEY.NS', 'ADANIPORTS.NS', 'GPIL.NS', 'ELECON.NS', 'PGEL.NS', 'TATAMOTORS.NS', 'HINDCOPPER.NS', 'LINDEINDIA.NS', 'POONAWALLA.NS', 'IIFL.NS', 'SAREGAMA.NS', 'JUSTDIAL.NS']",6.85,6.78,1948899.89
2021-03-31,2021-04-30,"['TTML.NS', 'TATACHEM.NS', 'TANLA.NS', 'ANANTRAJ.NS', 'OLECTRA.NS', 'TIINDIA.NS', 'DIXON.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'SUNDRMFAST.NS', 'PRAJIND.NS', 'INDIANB.NS', 'ADANIENT.NS', 'SHRIRAMFIN.NS', 'NCC.NS', 'APLAPOLLO.NS', 'KIRLOSBROS.NS', 'ACE.NS', 'MMTC.NS', 'TATASTEEL.NS', 'CUMMINSIND.NS', 'ATGL.NS', 'POONAWALLA.NS', 'HEG.NS', 'DEEPAKNTR.NS', 'SUNDARMFIN.NS', 'CHOLAFIN.NS', 'TEJASNET.NS', 'GRAPHITE.NS', 'ADANIPOWER.NS', 'SCI.NS', 'SAIL.NS', 'IFCI.NS', 'TRIDENT.NS', 'FACT.NS', 'DALBHARAT.NS', 'CGPOWER.NS', 'ADANIPORTS.NS', 'GPIL.NS', 'ELECON.NS', 'PGEL.NS', 'TATAMOTORS.NS', 'HINDCOPPER.NS', 'NBCC.NS', 'LINDEINDIA.NS', 'INTELLECT.NS', 'IIFL.NS', 'SAREGAMA.NS', 'BEML.NS', 'JUSTDIAL.NS']",6.16,6.11,2067926.73
2021-04-30,2021-05-31,"['TATACHEM.NS', 'SARDAEN.NS', 'TANLA.NS', 'JINDALSTEL.NS', 'ANANTRAJ.NS', 'OLECTRA.NS', 'ALKYLAMINE.NS', 'DCMSHRIRAM.NS', 'DIXON.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'PRAJIND.NS', 'ADANIENT.NS', 'NCC.NS', 'APLAPOLLO.NS', 'KIRLOSBROS.NS', 'MMTC.NS', 'TATASTEEL.NS', 'ATGL.NS', 'POONAWALLA.NS', 'NEULANDLAB.NS', 'HEG.NS', 'DEEPAKNTR.NS', 'USHAMART.NS', 'CHOLAFIN.NS', 'TEJASNET.NS', 'GRAVITA.NS', 'VEDL.NS', 'GRAPHITE.NS', 'MAHABANK.NS', 'ADANIPOWER.NS', 'AFFLE.NS', 'SAIL.NS', 'KPITTECH.NS', 'NATIONALUM.NS', 'FACT.NS', 'CGPOWER.NS', 'TARIL.NS', 'GPIL.NS', 'ELECON.NS', 'JSWSTEEL.NS', 'PGEL.NS', 'HINDALCO.NS', 'TATAMOTORS.NS', 'HINDCOPPER.NS', 'LINDEINDIA.NS', 'INTELLECT.NS', 'IIFL.NS', 'SAREGAMA.NS', 'POLYMED.NS']",8.57,8.51,2243902.52
